"Table 1.1 Total Arrivals(a) by State of Residence/Stay(b), Jan-1991 to Jun-2021(c)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,NSW,Vic.,Qld,SA,WA,Tas.,NT,ACT,Australia(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-1991,200040,94560,79590,19330,44510,3380,4390,7790,462080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-1991,145330,72500,62360,13580,35830,4260,2510,7270,350090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-1991,148690,69330,70250,12990,33420,2760,1810,5280,349970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-1991,128400,57320,61330,11760,33880,1690,3460,4170,306940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-1991,126650,58060,65310,10830,33110,2040,3470,3730,308760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-1991,130490,60390,86850,12100,33160,3200,3630,5380,342200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-1991,180370,81970,88860,16110,37280,2280,5210,7050,427590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-1991,165210,74280,78230,13680,35910,2620,4500,5870,387990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-1991,167770,76500,79390,15160,38790,4040,3110,6390,400080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-1991,194000,92910,85630,19610,43590,2700,3270,7400,459600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-1991,168630,80490,78460,14110,39370,2480,3110,6540,406660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-1991,171440,75990,85930,14680,42180,3620,3460,6650,415330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-1992,208490,94160,90760,15950,45110,4230,3430,7700,477800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-1992,177030,83750,77910,14370,38950,4080,2590,5440,412270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-1992,166970,67330,74260,12230,35350,3150,2490,4730,375660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-1992,168630,68650,74060,13670,36210,2900,3410,5430,379300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-1992,144520,62400,76890,12060,29560,2610,3670,4890,341990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-1992,138280,61840,82740,11640,31180,3530,2910,4960,342030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
