,Month,Visa Type,Population,"Population Log,10"
1,Jan-20,Temporary Student Visas,91610,4.961942883
2,Feb-20,Temporary Student Visas,121320,5.083932402
3,Mar-20,Temporary Student Visas,60360,4.780749231
4,Apr-20,Temporary Student Visas,30,1.477121255
5,May-20,Temporary Student Visas,40,1.602059991
6,Jun-20,Temporary Student Visas,60,1.77815125
7,Jul-20,Temporary Student Visas,40,1.602059991
8,Aug-20,Temporary Student Visas,50,1.698970004
9,Sep-20,Temporary Student Visas,80,1.903089987
10,Oct-20,Temporary Student Visas,130,2.113943352
11,Nov-20,Temporary Student Visas,150,2.176091259
12,Dec-20,Temporary Student Visas,230,2.361727836
13,Jan-21,Temporary Student Visas,360,2.556302501
14,Feb-21,Temporary Student Visas,200,2.301029996
15,Mar-21,Temporary Student Visas,230,2.361727836
16,Apr-21,Temporary Student Visas,260,2.414973348
17,May-21,Temporary Student Visas,390,2.591064607
18,Jun-21,Temporary Student Visas,470,2.672097858
19,Jul-21,Temporary Student Visas,520,2.716003344
20,Jan-20,Temporary Skilled Visas,33630,4.526726867
21,Feb-20,Temporary Skilled Visas,15110,4.179264464
22,Mar-20,Temporary Skilled Visas,9060,3.957128198
23,Apr-20,Temporary Skilled Visas,160,2.204119983
24,May-20,Temporary Skilled Visas,190,2.278753601
25,Jun-20,Temporary Skilled Visas,170,2.230448921
26,Jul-20,Temporary Skilled Visas,270,2.431363764
27,Aug-20,Temporary Skilled Visas,460,2.662757832
28,Sep-20,Temporary Skilled Visas,670,2.826074803
29,Oct-20,Temporary Skilled Visas,1150,3.06069784
30,Nov-20,Temporary Skilled Visas,1220,3.086359831
31,Dec-20,Temporary Skilled Visas,1310,3.117271296
32,Jan-21,Temporary Skilled Visas,1210,3.08278537
33,Feb-21,Temporary Skilled Visas,1020,3.008600172
34,Mar-21,Temporary Skilled Visas,1280,3.10720997
35,Apr-21,Temporary Skilled Visas,1140,3.056904851
36,May-21,Temporary Skilled Visas,1480,3.170261715
37,Jun-21,Temporary Skilled Visas,1320,3.120573931
38,Jul-21,Temporary Skilled Visas,1190,3.075546961
39,Jan-20,Temporary Visitor Visas,516680,5.713221651
40,Feb-20,Temporary Visitor Visas,453860,5.656921909
41,Mar-20,Temporary Visitor Visas,198090,5.296862552
42,Apr-20,Temporary Visitor Visas,840,2.924279286
43,May-20,Temporary Visitor Visas,770,2.886490725
44,Jun-20,Temporary Visitor Visas,1150,3.06069784
45,Jul-20,Temporary Visitor Visas,880,2.944482672
46,Aug-20,Temporary Visitor Visas,890,2.949390007
47,Sep-20,Temporary Visitor Visas,1010,3.004321374
48,Oct-20,Temporary Visitor Visas,1760,3.245512668
49,Nov-20,Temporary Visitor Visas,1970,3.294466226
50,Dec-20,Temporary Visitor Visas,1980,3.29666519
51,Jan-21,Temporary Visitor Visas,1500,3.176091259
52,Feb-21,Temporary Visitor Visas,1490,3.173186268
53,Mar-21,Temporary Visitor Visas,1940,3.28780173
54,Apr-21,Temporary Visitor Visas,2460,3.390935107
55,May-21,Temporary Visitor Visas,3310,3.519827994
56,Jun-21,Temporary Visitor Visas,3410,3.532754379
57,Jul-21,Temporary Visitor Visas,2250,3.352182518
58,Jan-20,Temporary Work Visas,23280,4.366982976
59,Feb-20,Temporary Work Visas,22490,4.351989455
60,Mar-20,Temporary Work Visas,13280,4.123198075
61,Apr-20,Temporary Work Visas,40,1.602059991
62,May-20,Temporary Work Visas,20,1.301029996
63,Jun-20,Temporary Work Visas,40,1.602059991
64,Jul-20,Temporary Work Visas,40,1.602059991
65,Aug-20,Temporary Work Visas,50,1.698970004
66,Sep-20,Temporary Work Visas,60,1.77815125
67,Oct-20,Temporary Work Visas,110,2.041392685
68,Nov-20,Temporary Work Visas,130,2.113943352
69,Dec-20,Temporary Work Visas,100,2
70,Jan-21,Temporary Work Visas,100,2
71,Feb-21,Temporary Work Visas,120,2.079181246
72,Mar-21,Temporary Work Visas,150,2.176091259
73,Apr-21,Temporary Work Visas,150,2.176091259
74,May-21,Temporary Work Visas,210,2.322219295
75,Jun-21,Temporary Work Visas,270,2.431363764
76,Jul-21,Temporary Work Visas,260,2.414973348
77,Jan-20,Temporary Other Visas,50990,4.707485012
78,Feb-20,Temporary Other Visas,38840,4.589279221
79,Mar-20,Temporary Other Visas,22210,4.346548559
80,Apr-20,Temporary Other Visas,510,2.707570176
81,May-20,Temporary Other Visas,870,2.939519253
82,Jun-20,Temporary Other Visas,1710,3.23299611
83,Jul-20,Temporary Other Visas,1080,3.033423755
84,Aug-20,Temporary Other Visas,1180,3.071882007
85,Sep-20,Temporary Other Visas,1580,3.198657087
86,Oct-20,Temporary Other Visas,2060,3.31386722
87,Nov-20,Temporary Other Visas,2060,3.31386722
88,Dec-20,Temporary Other Visas,1800,3.255272505
89,Jan-21,Temporary Other Visas,3590,3.555094449
90,Feb-21,Temporary Other Visas,1910,3.281033367
91,Mar-21,Temporary Other Visas,2700,3.431363764
92,Apr-21,Temporary Other Visas,3450,3.537819095
93,May-21,Temporary Other Visas,3710,3.56937391
94,Jun-21,Temporary Other Visas,4590,3.661812686
95,Jul-21,Temporary Other Visas,3040,3.482873584
