"","Month","Visa Type","Population"
"1","Mar-20","Temporary Student Visas",60360
"2","Apr-20","Temporary Student Visas",30
"3","May-20","Temporary Student Visas",40
"4","Jun-20","Temporary Student Visas",60
"5","Jul-20","Temporary Student Visas",40
"6","Aug-20","Temporary Student Visas",50
"7","Sep-20","Temporary Student Visas",80
"8","Oct-20","Temporary Student Visas",130
"9","Nov-20","Temporary Student Visas",150
"10","Dec-20","Temporary Student Visas",230
"11","Jan-21","Temporary Student Visas",360
"12","Feb-21","Temporary Student Visas",200
"13","Mar-21","Temporary Student Visas",230
"14","Apr-21","Temporary Student Visas",260
"15","May-21","Temporary Student Visas",390
"16","Jun-21","Temporary Student Visas",470
"17","Jul-21","Temporary Student Visas",520
"18","Mar-20","Temporary Skilled Visas",9060
"19","Apr-20","Temporary Skilled Visas",160
"20","May-20","Temporary Skilled Visas",190
"21","Jun-20","Temporary Skilled Visas",170
"22","Jul-20","Temporary Skilled Visas",270
"23","Aug-20","Temporary Skilled Visas",460
"24","Sep-20","Temporary Skilled Visas",670
"25","Oct-20","Temporary Skilled Visas",1150
"26","Nov-20","Temporary Skilled Visas",1220
"27","Dec-20","Temporary Skilled Visas",1310
"28","Jan-21","Temporary Skilled Visas",1210
"29","Feb-21","Temporary Skilled Visas",1020
"30","Mar-21","Temporary Skilled Visas",1280
"31","Apr-21","Temporary Skilled Visas",1140
"32","May-21","Temporary Skilled Visas",1480
"33","Jun-21","Temporary Skilled Visas",1320
"34","Jul-21","Temporary Skilled Visas",1190
"35","Mar-20","Temporary Visitor Visas",198090
"36","Apr-20","Temporary Visitor Visas",840
"37","May-20","Temporary Visitor Visas",770
"38","Jun-20","Temporary Visitor Visas",1150
"39","Jul-20","Temporary Visitor Visas",880
"40","Aug-20","Temporary Visitor Visas",890
"41","Sep-20","Temporary Visitor Visas",1010
"42","Oct-20","Temporary Visitor Visas",1760
"43","Nov-20","Temporary Visitor Visas",1970
"44","Dec-20","Temporary Visitor Visas",1980
"45","Jan-21","Temporary Visitor Visas",1500
"46","Feb-21","Temporary Visitor Visas",1490
"47","Mar-21","Temporary Visitor Visas",1940
"48","Apr-21","Temporary Visitor Visas",2460
"49","May-21","Temporary Visitor Visas",3310
"50","Jun-21","Temporary Visitor Visas",3410
"51","Jul-21","Temporary Visitor Visas",2250
"52","Mar-20","Temporary Work Visas",13280
"53","Apr-20","Temporary Work Visas",40
"54","May-20","Temporary Work Visas",20
"55","Jun-20","Temporary Work Visas",40
"56","Jul-20","Temporary Work Visas",40
"57","Aug-20","Temporary Work Visas",50
"58","Sep-20","Temporary Work Visas",60
"59","Oct-20","Temporary Work Visas",110
"60","Nov-20","Temporary Work Visas",130
"61","Dec-20","Temporary Work Visas",100
"62","Jan-21","Temporary Work Visas",100
"63","Feb-21","Temporary Work Visas",120
"64","Mar-21","Temporary Work Visas",150
"65","Apr-21","Temporary Work Visas",150
"66","May-21","Temporary Work Visas",210
"67","Jun-21","Temporary Work Visas",270
"68","Jul-21","Temporary Work Visas",260
"69","Mar-20","Temporary Other Visas",22210
"70","Apr-20","Temporary Other Visas",510
"71","May-20","Temporary Other Visas",870
"72","Jun-20","Temporary Other Visas",1710
"73","Jul-20","Temporary Other Visas",1080
"74","Aug-20","Temporary Other Visas",1180
"75","Sep-20","Temporary Other Visas",1580
"76","Oct-20","Temporary Other Visas",2060
"77","Nov-20","Temporary Other Visas",2060
"78","Dec-20","Temporary Other Visas",1800
"79","Jan-21","Temporary Other Visas",3590
"80","Feb-21","Temporary Other Visas",1910
"81","Mar-21","Temporary Other Visas",2700
"82","Apr-21","Temporary Other Visas",3450
"83","May-21","Temporary Other Visas",3710
"84","Jun-21","Temporary Other Visas",4590
"85","Jul-21","Temporary Other Visas",3040
