"","Month-Year","State","Population"
"1","Jan-1991","NSW","200040"
"2","Feb-1991","NSW","145330"
"3","Mar-1991","NSW","148690"
"4","Apr-1991","NSW","128400"
"5","May-1991","NSW","126650"
"6","Jun-1991","NSW","130490"
"7","Jul-1991","NSW","180370"
"8","Aug-1991","NSW","165210"
"9","Sep-1991","NSW","167770"
"10","Oct-1991","NSW","194000"
"11","Nov-1991","NSW","168630"
"12","Dec-1991","NSW","171440"
"13","Jan-1992","NSW","208490"
"14","Feb-1992","NSW","177030"
"15","Mar-1992","NSW","166970"
"16","Apr-1992","NSW","168630"
"17","May-1992","NSW","144520"
"18","Jun-1992","NSW","138280"
"19","Jul-1992","NSW","190320"
"20","Aug-1992","NSW","168210"
"21","Sep-1992","NSW","163120"
"22","Oct-1992","NSW","201120"
"23","Nov-1992","NSW","188030"
"24","Dec-1992","NSW","193500"
"25","Jan-1993","NSW","235300"
"26","Feb-1993","NSW","190060"
"27","Mar-1993","NSW","181600"
"28","Apr-1993","NSW","177210"
"29","May-1993","NSW","158060"
"30","Jun-1993","NSW","155660"
"31","Jul-1993","NSW","217580"
"32","Aug-1993","NSW","183970"
"33","Sep-1993","NSW","186260"
"34","Oct-1993","NSW","243420"
"35","Nov-1993","NSW","190640"
"36","Dec-1993","NSW","206130"
"37","Jan-1994","NSW","243520"
"38","Feb-1994","NSW","214070"
"39","Mar-1994","NSW","215970"
"40","Apr-1994","NSW","202350"
"41","May-1994","NSW","163350"
"42","Jun-1994","NSW","171740"
"43","Jul-1994","NSW","234820"
"44","Aug-1994","NSW","202050"
"45","Sep-1994","NSW","197900"
"46","Oct-1994","NSW","242620"
"47","Nov-1994","NSW","209510"
"48","Dec-1994","NSW","225780"
"49","Jan-1995","NSW","265880"
"50","Feb-1995","NSW","226040"
"51","Mar-1995","NSW","214450"
"52","Apr-1995","NSW","211740"
"53","May-1995","NSW","183940"
"54","Jun-1995","NSW","190790"
"55","Jul-1995","NSW","262690"
"56","Aug-1995","NSW","216570"
"57","Sep-1995","NSW","217210"
"58","Oct-1995","NSW","263570"
"59","Nov-1995","NSW","232870"
"60","Dec-1995","NSW","251050"
"61","Jan-1996","NSW","290390"
"62","Feb-1996","NSW","261400"
"63","Mar-1996","NSW","246790"
"64","Apr-1996","NSW","244830"
"65","May-1996","NSW","190920"
"66","Jun-1996","NSW","212720"
"67","Jul-1996","NSW","262870"
"68","Aug-1996","NSW","235390"
"69","Sep-1996","NSW","231460"
"70","Oct-1996","NSW","282510"
"71","Nov-1996","NSW","258200"
"72","Dec-1996","NSW","276510"
"73","Jan-1997","NSW","302810"
"74","Feb-1997","NSW","262180"
"75","Mar-1997","NSW","261410"
"76","Apr-1997","NSW","227470"
"77","May-1997","NSW","208830"
"78","Jun-1997","NSW","220440"
"79","Jul-1997","NSW","275950"
"80","Aug-1997","NSW","233190"
"81","Sep-1997","NSW","246730"
"82","Oct-1997","NSW","287990"
"83","Nov-1997","NSW","258800"
"84","Dec-1997","NSW","262250"
"85","Jan-1998","NSW","301960"
"86","Feb-1998","NSW","258940"
"87","Mar-1998","NSW","239180"
"88","Apr-1998","NSW","256380"
"89","May-1998","NSW","216750"
"90","Jun-1998","NSW","216200"
"91","Jul-1998","NSW","286620"
"92","Aug-1998","NSW","258290"
"93","Sep-1998","NSW","240800"
"94","Oct-1998","NSW","290090"
"95","Nov-1998","NSW","254280"
"96","Dec-1998","NSW","274040"
"97","Jan-1999","NSW","314160"
"98","Feb-1999","NSW","272390"
"99","Mar-1999","NSW","260970"
"100","Apr-1999","NSW","256760"
"101","May-1999","NSW","218310"
"102","Jun-1999","NSW","215440"
"103","Jul-1999","NSW","290330"
"104","Aug-1999","NSW","257830"
"105","Sep-1999","NSW","261350"
"106","Oct-1999","NSW","304800"
"107","Nov-1999","NSW","288540"
"108","Dec-1999","NSW","295410"
"109","Jan-2000","NSW","312150"
"110","Feb-2000","NSW","303730"
"111","Mar-2000","NSW","280620"
"112","Apr-2000","NSW","302080"
"113","May-2000","NSW","252680"
"114","Jun-2000","NSW","244670"
"115","Jul-2000","NSW","318120"
"116","Aug-2000","NSW","273790"
"117","Sep-2000","NSW","368030"
"118","Oct-2000","NSW","349200"
"119","Nov-2000","NSW","316230"
"120","Dec-2000","NSW","345280"
"121","Jan-2001","NSW","371970"
"122","Feb-2001","NSW","306740"
"123","Mar-2001","NSW","290810"
"124","Apr-2001","NSW","295020"
"125","May-2001","NSW","255960"
"126","Jun-2001","NSW","256450"
"127","Jul-2001","NSW","325530"
"128","Aug-2001","NSW","280620"
"129","Sep-2001","NSW","272120"
"130","Oct-2001","NSW","298490"
"131","Nov-2001","NSW","254210"
"132","Dec-2001","NSW","320700"
"133","Jan-2002","NSW","332890"
"134","Feb-2002","NSW","288360"
"135","Mar-2002","NSW","296120"
"136","Apr-2002","NSW","276690"
"137","May-2002","NSW","241180"
"138","Jun-2002","NSW","237710"
"139","Jul-2002","NSW","314650"
"140","Aug-2002","NSW","271350"
"141","Sep-2002","NSW","266780"
"142","Oct-2002","NSW","332530"
"143","Nov-2002","NSW","280090"
"144","Dec-2002","NSW","313320"
"145","Jan-2003","NSW","353480"
"146","Feb-2003","NSW","289070"
"147","Mar-2003","NSW","271710"
"148","Apr-2003","NSW","235930"
"149","May-2003","NSW","193930"
"150","Jun-2003","NSW","212830"
"151","Jul-2003","NSW","302590"
"152","Aug-2003","NSW","265000"
"153","Sep-2003","NSW","278020"
"154","Oct-2003","NSW","330480"
"155","Nov-2003","NSW","311300"
"156","Dec-2003","NSW","339100"
"157","Jan-2004","NSW","377430"
"158","Feb-2004","NSW","326340"
"159","Mar-2004","NSW","296670"
"160","Apr-2004","NSW","306280"
"161","May-2004","NSW","268040"
"162","Jun-2004","NSW","266120"
"163","Jul-2004","NSW","359890"
"164","Aug-2004","NSW","304160"
"165","Sep-2004","NSW","299870"
"166","Oct-2004","NSW","373070"
"167","Nov-2004","NSW","326660"
"168","Dec-2004","NSW","367140"
"169","Jan-2005","NSW","445360"
"170","Feb-2005","NSW","352990"
"171","Mar-2005","NSW","351620"
"172","Apr-2005","NSW","324780"
"173","May-2005","NSW","274970"
"174","Jun-2005","NSW","287010"
"175","Jul-2005","NSW","394420"
"176","Aug-2005","NSW","320470"
"177","Sep-2005","NSW","324100"
"178","Oct-2005","NSW","391250"
"179","Nov-2005","NSW","327830"
"180","Dec-2005","NSW","372110"
"181","Jan-2006","NSW","439840"
"182","Feb-2006","NSW","358600"
"183","Mar-2006","NSW","327870"
"184","Apr-2006","NSW","339420"
"185","May-2006","NSW","283520"
"186","Jun-2006","NSW","283630"
"187","Jul-2006","NSW","396920"
"188","Aug-2006","NSW","313900"
"189","Sep-2006","NSW","327500"
"190","Oct-2006","NSW","401640"
"191","Nov-2006","NSW","346390"
"192","Dec-2006","NSW","387920"
"193","Jan-2007","NSW","450590"
"194","Feb-2007","NSW","368620"
"195","Mar-2007","NSW","365930"
"196","Apr-2007","NSW","357600"
"197","May-2007","NSW","291690"
"198","Jun-2007","NSW","305030"
"199","Jul-2007","NSW","402220"
"200","Aug-2007","NSW","343590"
"201","Sep-2007","NSW","347710"
"202","Oct-2007","NSW","414980"
"203","Nov-2007","NSW","369680"
"204","Dec-2007","NSW","398060"
"205","Jan-2008","NSW","474010"
"206","Feb-2008","NSW","411130"
"207","Mar-2008","NSW","384460"
"208","Apr-2008","NSW","353470"
"209","May-2008","NSW","317200"
"210","Jun-2008","NSW","316190"
"211","Jul-2008","NSW","440120"
"212","Aug-2008","NSW","353780"
"213","Sep-2008","NSW","338170"
"214","Oct-2008","NSW","410770"
"215","Nov-2008","NSW","356010"
"216","Dec-2008","NSW","392130"
