,Month,Visa Type,Population,LogPopulation
,,,,
,,,,
3,Mar-20,Temporary Student Visas,42130,4.624591459
4,Apr-20,Temporary Student Visas,9910,3.996073654
5,May-20,Temporary Student Visas,5460,3.737192643
6,Jun-20,Temporary Student Visas,7450,3.872156273
7,Jul-20,Temporary Student Visas,12130,4.083860801
8,Aug-20,Temporary Student Visas,12740,4.105169428
9,Sep-20,Temporary Student Visas,8410,3.924795996
10,Oct-20,Temporary Student Visas,6600,3.819543936
11,Nov-20,Temporary Student Visas,9100,3.959041392
12,Dec-20,Temporary Student Visas,12020,4.079904468
13,Jan-21,Temporary Student Visas,7890,3.897077003
14,Feb-21,Temporary Student Visas,3830,3.583198774
15,Mar-21,Temporary Student Visas,3330,3.522444234
16,Apr-21,Temporary Student Visas,1890,3.276461804
17,May-21,Temporary Student Visas,1830,3.26245109
18,Jun-21,Temporary Student Visas,3130,3.495544338
19,Jul-21,Temporary Student Visas,4690,3.671172843
,,,,
,,,,
22,Mar-20,Temporary Skilled Visas,7170,3.855519156
23,Apr-20,Temporary Skilled Visas,900,2.954242509
24,May-20,Temporary Skilled Visas,870,2.939519253
25,Jun-20,Temporary Skilled Visas,1120,3.049218023
26,Jul-20,Temporary Skilled Visas,2020,3.305351369
27,Aug-20,Temporary Skilled Visas,1720,3.235528447
28,Sep-20,Temporary Skilled Visas,1300,3.113943352
29,Oct-20,Temporary Skilled Visas,1220,3.086359831
30,Nov-20,Temporary Skilled Visas,1110,3.045322979
31,Dec-20,Temporary Skilled Visas,1680,3.225309282
32,Jan-21,Temporary Skilled Visas,1040,3.017033339
33,Feb-21,Temporary Skilled Visas,890,2.949390007
34,Mar-21,Temporary Skilled Visas,1190,3.075546961
35,Apr-21,Temporary Skilled Visas,1090,3.037426498
36,May-21,Temporary Skilled Visas,1260,3.100370545
37,Jun-21,Temporary Skilled Visas,1470,3.167317335
38,Jul-21,Temporary Skilled Visas,1620,3.209515015
,,,,
,,,,
41,Mar-20,Temporary Visitor Visas,354300,5.549371152
42,Apr-20,Temporary Visitor Visas,22430,4.350829274
43,May-20,Temporary Visitor Visas,9650,3.984527313
44,Jun-20,Temporary Visitor Visas,6010,3.778874472
45,Jul-20,Temporary Visitor Visas,6440,3.808885867
46,Aug-20,Temporary Visitor Visas,8280,3.918030337
47,Sep-20,Temporary Visitor Visas,8260,3.916980047
48,Oct-20,Temporary Visitor Visas,8180,3.912753304
49,Nov-20,Temporary Visitor Visas,7730,3.888179494
50,Dec-20,Temporary Visitor Visas,5710,3.756636108
51,Jan-21,Temporary Visitor Visas,5970,3.775974331
52,Feb-21,Temporary Visitor Visas,4550,3.658011397
53,Mar-21,Temporary Visitor Visas,2670,3.426511261
54,Apr-21,Temporary Visitor Visas,2260,3.354108439
55,May-21,Temporary Visitor Visas,3000,3.477121255
56,Jun-21,Temporary Visitor Visas,2760,3.440909082
57,Jul-21,Temporary Visitor Visas,2970,3.472756449
,,,,
,,,,
60,Mar-20,Temporary Work Visas,34760,4.541079768
61,Apr-20,Temporary Work Visas,18470,4.266466895
62,May-20,Temporary Work Visas,4510,3.654176542
63,Jun-20,Temporary Work Visas,3800,3.579783597
64,Jul-20,Temporary Work Visas,4940,3.693726949
65,Aug-20,Temporary Work Visas,4640,3.666517981
66,Sep-20,Temporary Work Visas,3020,3.480006943
67,Oct-20,Temporary Work Visas,2140,3.330413773
68,Nov-20,Temporary Work Visas,1410,3.149219113
69,Dec-20,Temporary Work Visas,1480,3.170261715
70,Jan-21,Temporary Work Visas,1220,3.086359831
71,Feb-21,Temporary Work Visas,830,2.919078092
72,Mar-21,Temporary Work Visas,580,2.763427994
73,Apr-21,Temporary Work Visas,470,2.672097858
74,May-21,Temporary Work Visas,540,2.73239376
75,Jun-21,Temporary Work Visas,610,2.785329835
76,Jul-21,Temporary Work Visas,720,2.857332496
,,,,
,,,,
79,Mar-20,Temporary Other Visas,27100,4.432969291
80,Apr-20,Temporary Other Visas,4390,3.64246452
81,May-20,Temporary Other Visas,4940,3.693726949
82,Jun-20,Temporary Other Visas,8260,3.916980047
83,Jul-20,Temporary Other Visas,11200,4.049218023
84,Aug-20,Temporary Other Visas,10020,4.000867722
85,Sep-20,Temporary Other Visas,8710,3.940018155
86,Oct-20,Temporary Other Visas,8390,3.923761961
87,Nov-20,Temporary Other Visas,6440,3.808885867
88,Dec-20,Temporary Other Visas,7520,3.876217841
89,Jan-21,Temporary Other Visas,6570,3.81756537
90,Feb-21,Temporary Other Visas,6920,3.840106094
91,Mar-21,Temporary Other Visas,7160,3.854913022
92,Apr-21,Temporary Other Visas,6360,3.803457116
93,May-21,Temporary Other Visas,5870,3.768638101
94,Jun-21,Temporary Other Visas,5770,3.761175813
95,Jul-21,Temporary Other Visas,7130,3.85308953
