"","Month","Visa Type","Population"
"1","Jan-20","Temporary Student Visas",75640
"2","Feb-20","Temporary Student Visas",28960
"3","Mar-20","Temporary Student Visas",42130
"4","Apr-20","Temporary Student Visas",9910
"5","May-20","Temporary Student Visas",5460
"6","Jun-20","Temporary Student Visas",7450
"7","Jul-20","Temporary Student Visas",12130
"8","Aug-20","Temporary Student Visas",12740
"9","Sep-20","Temporary Student Visas",8410
"10","Oct-20","Temporary Student Visas",6600
"11","Nov-20","Temporary Student Visas",9100
"12","Dec-20","Temporary Student Visas",12020
"13","Jan-21","Temporary Student Visas",7890
"14","Feb-21","Temporary Student Visas",3830
"15","Mar-21","Temporary Student Visas",3330
"16","Apr-21","Temporary Student Visas",1890
"17","May-21","Temporary Student Visas",1830
"18","Jun-21","Temporary Student Visas",3130
"19","Jul-21","Temporary Student Visas",4690
"20","Jan-20","Temporary Skilled Visas",15670
"21","Feb-20","Temporary Skilled Visas",11880
"22","Mar-20","Temporary Skilled Visas",7170
"23","Apr-20","Temporary Skilled Visas",900
"24","May-20","Temporary Skilled Visas",870
"25","Jun-20","Temporary Skilled Visas",1120
"26","Jul-20","Temporary Skilled Visas",2020
"27","Aug-20","Temporary Skilled Visas",1720
"28","Sep-20","Temporary Skilled Visas",1300
"29","Oct-20","Temporary Skilled Visas",1220
"30","Nov-20","Temporary Skilled Visas",1110
"31","Dec-20","Temporary Skilled Visas",1680
"32","Jan-21","Temporary Skilled Visas",1040
"33","Feb-21","Temporary Skilled Visas",890
"34","Mar-21","Temporary Skilled Visas",1190
"35","Apr-21","Temporary Skilled Visas",1090
"36","May-21","Temporary Skilled Visas",1260
"37","Jun-21","Temporary Skilled Visas",1470
"38","Jul-21","Temporary Skilled Visas",1620
"39","Jan-20","Temporary Visitor Visas",713250
"40","Feb-20","Temporary Visitor Visas",488210
"41","Mar-20","Temporary Visitor Visas",354300
"42","Apr-20","Temporary Visitor Visas",22430
"43","May-20","Temporary Visitor Visas",9650
"44","Jun-20","Temporary Visitor Visas",6010
"45","Jul-20","Temporary Visitor Visas",6440
"46","Aug-20","Temporary Visitor Visas",8280
"47","Sep-20","Temporary Visitor Visas",8260
"48","Oct-20","Temporary Visitor Visas",8180
"49","Nov-20","Temporary Visitor Visas",7730
"50","Dec-20","Temporary Visitor Visas",5710
"51","Jan-21","Temporary Visitor Visas",5970
"52","Feb-21","Temporary Visitor Visas",4550
"53","Mar-21","Temporary Visitor Visas",2670
"54","Apr-21","Temporary Visitor Visas",2260
"55","May-21","Temporary Visitor Visas",3000
"56","Jun-21","Temporary Visitor Visas",2760
"57","Jul-21","Temporary Visitor Visas",2970
"58","Jan-20","Temporary Work Visas",21920
"59","Feb-20","Temporary Work Visas",19490
"60","Mar-20","Temporary Work Visas",34760
"61","Apr-20","Temporary Work Visas",18470
"62","May-20","Temporary Work Visas",4510
"63","Jun-20","Temporary Work Visas",3800
"64","Jul-20","Temporary Work Visas",4940
"65","Aug-20","Temporary Work Visas",4640
"66","Sep-20","Temporary Work Visas",3020
"67","Oct-20","Temporary Work Visas",2140
"68","Nov-20","Temporary Work Visas",1410
"69","Dec-20","Temporary Work Visas",1480
"70","Jan-21","Temporary Work Visas",1220
"71","Feb-21","Temporary Work Visas",830
"72","Mar-21","Temporary Work Visas",580
"73","Apr-21","Temporary Work Visas",470
"74","May-21","Temporary Work Visas",540
"75","Jun-21","Temporary Work Visas",610
"76","Jul-21","Temporary Work Visas",720
"77","Jan-20","Temporary Other Visas",44210
"78","Feb-20","Temporary Other Visas",29600
"79","Mar-20","Temporary Other Visas",27100
"80","Apr-20","Temporary Other Visas",4390
"81","May-20","Temporary Other Visas",4940
"82","Jun-20","Temporary Other Visas",8260
"83","Jul-20","Temporary Other Visas",11200
"84","Aug-20","Temporary Other Visas",10020
"85","Sep-20","Temporary Other Visas",8710
"86","Oct-20","Temporary Other Visas",8390
"87","Nov-20","Temporary Other Visas",6440
"88","Dec-20","Temporary Other Visas",7520
"89","Jan-21","Temporary Other Visas",6570
"90","Feb-21","Temporary Other Visas",6920
"91","Mar-21","Temporary Other Visas",7160
"92","Apr-21","Temporary Other Visas",6360
"93","May-21","Temporary Other Visas",5870
"94","Jun-21","Temporary Other Visas",5770
"95","Jul-21","Temporary Other Visas",7130
