"","","Month","Month1","Country","Percentage Change"
"1",NA,"Apr-20",1,"Australia","-96.90799714"
"2",NA,"May-20",2,"Australia","-97.7093938"
"3",NA,"Jun-20",3,"Australia","-97.09940684"
"4",NA,"Jul-20",4,"Australia","-97.82718438"
"5",NA,"Aug-20",5,"Australia","-98.20579698"
"6",NA,"Sep-20",6,"Australia","-98.20369358"
"7",NA,"Oct-20",7,"Australia","-97.52429431"
"8",NA,"Nov-20",8,"Australia","-96.80493038"
"9",NA,"Dec-20",9,"Australia","-96.29590678"
"10",NA,"Jan-21",10,"Australia","-97.05733877"
"11",NA,"Feb-21",11,"Australia","-97.6462917"
"12",NA,"Mar-21",12,"Australia","-97.05313197"
"13",NA,"Apr-21",13,"Australia","-95.9299146"
"14",NA,"May-21",14,"Australia","-90.69244037"
"15",NA,"Jun-21",15,"Australia","-91.53169829"
"16",NA,"Jul-21",16,"Australia","-92.854739"
"17",NA,"Apr-20",1,"New Zealand","-98.60014358"
"18",NA,"May-20",2,"New Zealand","-97.2361809"
"19",NA,"Jun-20",3,"New Zealand","-96.73366834"
"20",NA,"Jul-20",4,"New Zealand","-98.15745394"
"21",NA,"Aug-20",5,"New Zealand","-98.64800191"
"22",NA,"Sep-20",6,"New Zealand","-98.56424982"
"23",NA,"Oct-20",7,"New Zealand","-97.06867672"
"24",NA,"Nov-20",8,"New Zealand","-95.56113903"
"25",NA,"Dec-20",9,"New Zealand","-94.08949509"
"26",NA,"Jan-21",10,"New Zealand","-94.75951184"
"27",NA,"Feb-21",11,"New Zealand","-95.14237856"
"28",NA,"Mar-21",12,"New Zealand","-93.94592008"
"29",NA,"Apr-21",13,"New Zealand","-75.72385738"
"30",NA,"May-21",14,"New Zealand","-37.47307968"
"31",NA,"Jun-21",15,"New Zealand","-47.65494137"
"32",NA,"Jul-21",16,"New Zealand","-67.6238335"
"33",NA,"Apr-20",1,"Papua New Guinea","-98.07692308"
"34",NA,"May-20",2,"Papua New Guinea","-96.15384615"
"35",NA,"Jun-20",3,"Papua New Guinea","-96.15384615"
"36",NA,"Jul-20",4,"Papua New Guinea","-95.51282051"
"37",NA,"Aug-20",5,"Papua New Guinea","-98.07692308"
"38",NA,"Sep-20",6,"Papua New Guinea","-96.15384615"
"39",NA,"Oct-20",7,"Papua New Guinea","-96.15384615"
"40",NA,"Nov-20",8,"Papua New Guinea","-96.15384615"
"41",NA,"Dec-20",9,"Papua New Guinea","-93.58974359"
"42",NA,"Jan-21",10,"Papua New Guinea","-94.87179487"
"43",NA,"Feb-21",11,"Papua New Guinea","-94.23076923"
"44",NA,"Mar-21",12,"Papua New Guinea","-94.23076923"
"45",NA,"Apr-21",13,"Papua New Guinea","-96.79487179"
"46",NA,"May-21",14,"Papua New Guinea","-96.15384615"
"47",NA,"Jun-21",15,"Papua New Guinea","-94.87179487"
"48",NA,"Jul-21",16,"Papua New Guinea","-96.7948718"
"49",NA,"Apr-20",1,"Solomon Islands","-100"
"50",NA,"May-20",2,"Solomon Islands","-100"
"51",NA,"Jun-20",3,"Solomon Islands","-100"
"52",NA,"Jul-20",4,"Solomon Islands","-95.83333333"
"53",NA,"Aug-20",5,"Solomon Islands","-100"
"54",NA,"Sep-20",6,"Solomon Islands","-100"
"55",NA,"Oct-20",7,"Solomon Islands","-95.83333333"
"56",NA,"Nov-20",8,"Solomon Islands","-25"
"57",NA,"Dec-20",9,"Solomon Islands","-95.83333333"
"58",NA,"Jan-21",10,"Solomon Islands","-95.83333333"
"59",NA,"Feb-21",11,"Solomon Islands","-91.66666667"
"60",NA,"Mar-21",12,"Solomon Islands","-33.33333333"
"61",NA,"Apr-21",13,"Solomon Islands","50"
"62",NA,"May-21",14,"Solomon Islands","37.5"
"63",NA,"Jun-21",15,"Solomon Islands","-25"
"64",NA,"Jul-21",16,"Solomon Islands","-25"
"65",NA,"Apr-20",1,"Vanuatu","-100"
"66",NA,"May-20",2,"Vanuatu","-100"
"67",NA,"Jun-20",3,"Vanuatu","-100"
"68",NA,"Jul-20",4,"Vanuatu","-100"
"69",NA,"Aug-20",5,"Vanuatu","-100"
"70",NA,"Sep-20",6,"Vanuatu","-60.46511628"
"71",NA,"Oct-20",7,"Vanuatu","-60.46511628"
"72",NA,"Nov-20",8,"Vanuatu","-97.6744186"
"73",NA,"Dec-20",9,"Vanuatu","-62.79069767"
"74",NA,"Jan-21",10,"Vanuatu","32.55813953"
"75",NA,"Feb-21",11,"Vanuatu","-97.6744186"
"76",NA,"Mar-21",12,"Vanuatu","-60.46511628"
"77",NA,"Apr-21",13,"Vanuatu","18.60465116"
"78",NA,"May-21",14,"Vanuatu","39.53488372"
"79",NA,"Jun-21",15,"Vanuatu","79.06976744"
"80",NA,"Jul-21",16,"Vanuatu","-6.9767442"
"81",NA,"Apr-20",1,"Kiribati","-100"
"82",NA,"May-20",2,"Kiribati","-100"
"83",NA,"Jun-20",3,"Kiribati","-100"
