,,Month,Country,Percentage Change,Positive,"Percentage Change (Log,10)"
1,NA,,Australia,-92.854739,92.854739,1.967804074
2,NA,,New Zealand,-67.6238335,67.6238335,1.830099787
3,NA,,Papua New Guinea,-96.7948718,96.7948718,1.985852349
4,NA,,Solomon Islands,-25,25,1.397940009
5,NA,,Vanuatu,-6.9767442,6.9767442,0.8436528
6,NA,,Kiribati,-100,100,2
7,NA,,Marshall Is,0,0,0
8,NA,,Micronesia,0,0,0
9,NA,,Nauru,-100,100,2
10,NA,,Palau,0,0,0
11,NA,,Cook Islands,0,0,0
12,NA,,Fiji,-97.4358974,97.4358974,1.988718989
13,NA,,Samoa,-14.8148148,14.8148148,1.170696227
14,NA,,Tonga,-71.2121212,71.2121212,1.852553922
15,NA,,Tuvalu,-100,100,2
16,NA,,UK,-96.5599051,96.5599051,1.98479683
17,NA,,Ireland,-94.8339483,94.8339483,1.976963832
18,NA,,Austria,-97.6,97.6,1.989449818
19,NA,,Belgium,-96.7741935,96.7741935,1.985759561
20,NA,,France,-97.0065482,97.0065482,1.986801051
21,NA,,Germany,-98.0617373,98.0617373,1.991499583
22,NA,,Liechtenstein,-100,100,2
23,NA,,Luxembourg,-100,100,2
24,NA,,Monaco,-100,100,2
25,NA,,Netherlands,-96.5831435,96.5831435,1.984901336
26,NA,,Switzerland,-98.8047809,98.8047809,1.994777959
27,NA,,Denmark,-98.1481481,98.1481481,1.99188211
28,NA,,Faroe Islands,0,0,0
29,NA,,Finland,-96.2962963,96.2962963,1.983609584
30,NA,,Iceland,-100,100,2
31,NA,,Norway,-97.3684211,97.3684211,1.988418128
32,NA,,Sweden,-97.9899497,97.9899497,1.991181535
33,NA,,Andorra,0,0,0
34,NA,,Italy,-96.4912281,96.4912281,1.984487834
35,NA,,Malta,-92.8571429,92.8571429,1.967815317
36,NA,,Portugal,-94.4444444,94.4444444,1.975176416
37,NA,,San Marino,0,0,0
38,NA,,Spain,-97.188755,97.188755,1.987616019
39,NA,,Albania,-100,100,2
40,NA,,Bosnia/Herzegov,-83.3333333,83.3333333,1.920818754
41,NA,,Bulgaria,-93.3333333,93.3333333,1.970036776
42,NA,,Croatia,-90.4761905,90.4761905,1.956534306
43,NA,,Cyprus,-100,100,2
44,NA,,North Macedonia,-91.6666667,91.6666667,1.962211439
45,NA,,Greece,-95,95,1.977723605
46,NA,,Moldova,-100,100,2
47,NA,,Romania,-96.7741935,96.7741935,1.985759561
48,NA,,Slovenia,-100,100,2
49,NA,,Montenegro,0,0,0
50,NA,,Serbia,-93.75,93.75,1.971971276
51,NA,,Kosovo,-100,100,2
52,NA,,Belarus,-100,100,2
53,NA,,Czechia,-97.0588235,97.0588235,1.987035023
54,NA,,Estonia,-96.2962963,96.2962963,1.983609584
55,NA,,Hungary,-95.7446809,95.7446809,1.981114656
56,NA,,Latvia,-91.6666667,91.6666667,1.962211439
57,NA,,Lithuania,-96.1538462,96.1538462,1.982966661
58,NA,,Poland,-97.1428571,97.1428571,1.987410873
59,NA,,Russia,-95.7142857,95.7142857,1.980976763
60,NA,,Slovakia,-96.2962963,96.2962963,1.983609584
61,NA,,Ukraine,-89.4736842,89.4736842,1.95169532
62,NA,,Algeria,-50,50,1.698970004
63,NA,,Egypt,-88.0952381,88.0952381,1.944952434
64,NA,,Libya,0,0,0
65,NA,,Morocco,-100,100,2
66,NA,,Sudan,-88.8888889,88.8888889,1.948847478
67,NA,,Tunisia,0,0,0
68,NA,,South Sudan,-100,100,2
69,NA,,Bahrain,-100,100,2
70,NA,,Gaza Str/W Bank,0,0,0
71,NA,,Iran,-68.9655172,68.9655172,1.838631998
72,NA,,Iraq,-94.047619,94.047619,1.973347805
73,NA,,Israel,-92.8571429,92.8571429,1.967815317
74,NA,,Jordan,-87.5,87.5,1.942008053
75,NA,,Kuwait,-100,100,2
76,NA,,Lebanon,-88,88,1.944482672
77,NA,,Oman,-95,95,1.977723605
78,NA,,Qatar,0,0,0
79,NA,,Saudi Arabia,-98.0392157,98.0392157,1.991399828
80,NA,,Syria,-83.3333333,83.3333333,1.920818754
81,NA,,Turkey,-91.1111111,91.1111111,1.959571343
82,NA,,Unit Arab Emir,-91.6666667,91.6666667,1.962211439
83,NA,,Yemen,-100,100,2
84,NA,,Myanmar,-95,95,1.977723605
85,NA,,Cambodia,-96.7032967,96.7032967,1.98544128
86,NA,,Laos,-93.3333333,93.3333333,1.970036776
87,NA,,Thailand,-96.2441315,96.2441315,1.983374258
88,NA,,Vietnam,-96.5968586,96.5968586,1.984963003
89,NA,,Brunei,-93.75,93.75,1.971971276
90,NA,,Indonesia,-97.7045908,97.7045908,1.98991497
91,NA,,Malaysia,-97.4964235,97.4964235,1.988988685
92,NA,,Philippines,-92.8240741,92.8240741,1.967660626
93,NA,,Singapore,-97.8787879,97.8787879,1.990688583
94,NA,,Timor-Leste,-93.75,93.75,1.971971276
95,NA,,China,-95.9558824,95.9558824,1.982071604
96,NA,,Hong Kong,-94.2084942,94.2084942,1.974090062
97,NA,,Macau,-100,100,2
98,NA,,Mongolia,-100,100,2
99,NA,,Taiwan,-97.0666667,97.0666667,1.987070116
100,NA,,Japan,-98.4386089,98.4386089,1.993165468
101,NA,,"Dem. Rep. Korea""",0,0,0
102,NA,,Korea,-95.0617284,95.0617284,1.978005706
103,NA,,Bangladesh,-96,96,1.982271233
104,NA,,Bhutan,-96.875,96.875,1.986211716
105,NA,,India,-95.4300385,95.4300385,1.979685099
106,NA,,Maldives,-100,100,2
107,NA,,Nepal,-98.9915966,98.9915966,1.995598329
108,NA,,Pakistan,-96.9635628,96.9635628,1.986608565
109,NA,,Sri Lanka,-95.1742627,95.1742627,1.978519521
110,NA,,Afghanistan,-70.5357143,70.5357143,1.848409069
111,NA,,Armenia,-100,100,2
112,NA,,Azerbaijan,-100,100,2
113,NA,,Georgia,-66.6666667,66.6666667,1.823908741
114,NA,,Kazakhstan,-88.8888889,88.8888889,1.948847478
115,NA,,Kyrgyzstan,0,0,0
116,NA,,Tajikistan,0,0,0
117,NA,,Turkmenistan,0,0,0
118,NA,,Uzbekistan,-100,100,2
119,NA,,Bermuda,0,0,0
120,NA,,Canada,-97.3684211,97.3684211,1.988418128
121,NA,,United States,-97.5014526,97.5014526,1.989011086
122,NA,,Argentina,-96.7532468,96.7532468,1.985665548
123,NA,,Bolivia,-100,100,2
124,NA,,Brazil,-97.810219,97.810219,1.990384231
125,NA,,Chile,-98.0295567,98.0295567,1.991357039
126,NA,,Colombia,-97.752809,97.752809,1.990129246
127,NA,,Ecuador,-100,100,2
128,NA,,French Guiana,0,0,0
129,NA,,Guyana,0,0,0
130,NA,,Paraguay,-100,100,2
131,NA,,Peru,-97.1428571,97.1428571,1.987410873
132,NA,,Suriname,0,0,0
133,NA,,Uruguay,-100,100,2
134,NA,,Venezuela,-91.6666667,91.6666667,1.962211439
135,NA,,Belize,0,0,0
136,NA,,Costa Rica,-50,50,1.698970004
137,NA,,El Salvador,-100,100,2
138,NA,,Guatemala,-100,100,2
139,NA,,Honduras,-100,100,2
140,NA,,Mexico,-96.969697,96.969697,1.986636039
141,NA,,Nicaragua,-100,100,2
142,NA,,Panama,-100,100,2
143,NA,,Antigua/Barbuda,0,0,0
144,NA,,Bahamas,-100,100,2
145,NA,,Barbados,-100,100,2
146,NA,,Cayman Islands,0,0,0
147,NA,,Cuba,-100,100,2
148,NA,,Dominica,-100,100,2
149,NA,,Dominican Rep,-100,100,2
150,NA,,Grenada,0,0,0
151,NA,,Haiti,0,0,0
152,NA,,Jamaica,-100,100,2
153,NA,,St Kitts/Nevis,0,0,0
154,NA,,St Lucia,0,0,0
155,NA,,St Vinc/Grenad,0,0,0
156,NA,,Trinidad/Tobago,-100,100,2
157,NA,,"Virgin Is, Brit",0,0,0
158,NA,,Benin,0,0,0
159,NA,,Burkina Faso,0,0,0
160,NA,,Cameroon,-100,100,2
161,NA,,Cabo Verde,0,0,0
162,NA,,Central African Rep.,0,0,0
163,NA,,Chad,0,0,0
164,NA,,Congo,0,0,0
165,NA,,Dem. Rep. Cong,-100,100,2
166,NA,,Cote d'Ivoire,-100,100,2
167,NA,,Equator Guinea,0,0,0
168,NA,,Gabon,0,0,0
169,NA,,Gambia,0,0,0
170,NA,,Ghana,-77.7777778,77.7777778,1.890855531
171,NA,,Guinea,0,0,0
172,NA,,Guinea-Bissau,0,0,0
173,NA,,Liberia,-100,100,2
174,NA,,Mali,-100,100,2
175,NA,,Mauritania,0,0,0
176,NA,,Niger,0,0,0
177,NA,,Nigeria,-85.7142857,85.7142857,1.93305321
178,NA,,Sao Tome/Princ,0,0,0
179,NA,,Senegal,0,0,0
180,NA,,Sierra Leone,0,0,0
181,NA,,Togo,0,0,0
182,NA,,Angola,0,0,0
183,NA,,Botswana,-100,100,2
184,NA,,Burundi,-100,100,2
185,NA,,Comoros,0,0,0
186,NA,,Djibouti,0,0,0
187,NA,,Eritrea,-100,100,2
188,NA,,Ethiopia,-83.3333333,83.3333333,1.920818754
189,NA,,Kenya,-92.1052632,92.1052632,1.964284448
190,NA,,Lesotho,-100,100,2
191,NA,,Madagascar,-100,100,2
192,NA,,Malawi,-100,100,2
193,NA,,Mauritius,-98,98,1.991226076
194,NA,,Mozambique,-100,100,2
195,NA,,Namibia,-100,100,2
196,NA,,Reunion,0,0,0
197,NA,,Rwanda,-100,100,2
198,NA,,Seychelles,-100,100,2
199,NA,,Somalia,-50,50,1.698970004
200,NA,,South Africa,-93.8574939,93.8574939,1.972468954
201,NA,,Eswatini,0,0,0
202,NA,,Tanzania,-100,100,2
203,NA,,Uganda,-75,75,1.875061263
204,NA,,Zambia,-80,80,1.903089987
205,NA,,Zimbabwe,-94.1176471,94.1176471,1.973671061
